Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%),TimeOut,Gap_numeric,ratio_n_capacity,ratio_capacity_n,Optimal_numeric
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Complete_MIP_ORTools,13472,275.1145362854004,86,True,-1,0.0,False,0.0,0.01094331363536879,91.38,1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Complete_MIP_PuLP,13472,392.7445411682129,-1,True,-1,0.0,False,0.0,0.01094331363536879,91.38,1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Complete_DP,13472,672.2619533538818,228450,True,-1,0.0,False,0.0,0.01094331363536879,91.38,1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_Greedy_Simple,13404,1.0056495666503906,0,True,-1,0.504750593824228,False,0.504750593824228,0.01094331363536879,91.38,1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_Greedy_Random_k3,13404,1.194000244140625,0,True,-1,0.504750593824228,False,0.504750593824228,0.01094331363536879,91.38,1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_Greedy_Probabilistic_alpha0.9,11732,2.846717834472656,0,False,-1,12.915676959619955,False,12.915676959619955,0.01094331363536879,91.38,0
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_SimulatedAnnealing,13412,575.8793354034424,11760,True,-1,0.44536817102137766,False,0.44536817102137766,0.01094331363536879,91.38,1
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_TabuSearch,13472,1614.0873432159424,1000,True,-1,0.0,False,0.0,0.01094331363536879,91.38,1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Complete_MIP_ORTools,10354,59.29064750671387,50,True,-1,0.0,False,0.0,0.004363382494109434,229.18,1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Complete_MIP_PuLP,10354,157.5632095336914,-1,True,-1,0.0,False,0.0,0.004363382494109434,229.18,1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_Greedy_Simple,10354,0.0,0,True,-1,0.0,False,0.0,0.004363382494109434,229.18,1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_Greedy_Random_k3,10354,0.0,0,True,-1,0.0,False,0.0,0.004363382494109434,229.18,1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_Greedy_Probabilistic_alpha0.9,8771,0.0,0,False,-1,15.288777284141394,False,15.288777284141394,0.004363382494109434,229.18,0
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_SimulatedAnnealing,10354,557.4948787689209,12191,True,-1,0.0,False,0.0,0.004363382494109434,229.18,1
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_TabuSearch,10354,1925.8809089660645,1000,True,-1,0.0,False,0.0,0.004363382494109434,229.18,1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Complete_MIP_ORTools,46537,111.59181594848631,2,True,-1,0.0,False,0.0,0.004435573297848747,225.45,1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Complete_MIP_PuLP,46537,151.26466751098633,-1,True,-1,0.0,False,0.0,0.004435573297848747,225.45,1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_Greedy_Simple,46365,0.0,0,True,-1,0.36959838408148354,False,0.36959838408148354,0.004435573297848747,225.45,1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_Greedy_Random_k3,46447,13.449430465698242,0,True,-1,0.1933945032984507,False,0.1933945032984507,0.004435573297848747,225.45,1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_Greedy_Probabilistic_alpha0.9,40584,14.564037322998049,0,False,-1,12.7919719792853,False,12.7919719792853,0.004435573297848747,225.45,0
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_SimulatedAnnealing,46386,1294.0888404846191,10497,True,-1,0.3244729999785117,False,0.3244729999785117,0.004435573297848747,225.45,1
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_GeneticAlgorithm,43158,1237.3135089874268,5000,False,-1,7.260889184949609,False,7.260889184949609,0.004435573297848747,225.45,0
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_TabuSearch,46394,8220.534801483154,1000,True,-1,0.3072823774630939,False,0.3072823774630939,0.004435573297848747,225.45,1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Complete_MIP_ORTools,41049,21.17156982421875,0,True,-1,0.0,False,0.0,0.00440257110152329,227.14,1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Complete_MIP_PuLP,41049,90.46220779418944,-1,True,-1,0.0,False,0.0,0.00440257110152329,227.14,1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_Greedy_Simple,41049,0.9977817535400392,0,True,-1,0.0,False,0.0,0.00440257110152329,227.14,1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_Greedy_Random_k3,40787,13.279438018798828,0,True,-1,0.6382615898073035,False,0.6382615898073035,0.00440257110152329,227.14,1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_Greedy_Probabilistic_alpha0.9,33508,7.374286651611328,0,False,-1,18.370727666934638,False,18.370727666934638,0.00440257110152329,227.14,0
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_SimulatedAnnealing,41049,2041.177988052368,10344,True,-1,0.0,False,0.0,0.00440257110152329,227.14,1
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_GeneticAlgorithm,38834,1201.4946937561035,5000,False,-1,5.3959901581037295,False,5.3959901581037295,0.00440257110152329,227.14,0
00Uncorrelated_n00100_R01000_s001,moyen,Unknown,100,22714,45884,51291,Incomplete_TabuSearch,41049,10017.505884170532,1000,True,-1,0.0,False,0.0,0.00440257110152329,227.14,1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Complete_MIP_ORTools,31064,135.3354454040527,14,True,-1,0.0,False,0.0,0.003446255643243616,290.17,1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Complete_MIP_PuLP,31064,153.39970588684082,-1,True,-1,0.0,False,0.0,0.003446255643243616,290.17,1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_Greedy_Simple,31012,0.0,0,True,-1,0.1673963430337368,False,0.1673963430337368,0.003446255643243616,290.17,1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_Greedy_Random_k3,30996,4.985570907592773,0,True,-1,0.21890291012104046,False,0.21890291012104046,0.003446255643243616,290.17,1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_Greedy_Probabilistic_alpha0.9,29040,11.546850204467772,0,False,-1,6.515580736543909,False,6.515580736543909,0.003446255643243616,290.17,0
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_SimulatedAnnealing,31012,1851.853370666504,12213,True,-1,0.1673963430337368,False,0.1673963430337368,0.003446255643243616,290.17,1
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_GeneticAlgorithm,29937,1310.1298809051514,5000,False,-1,3.62799381921195,False,3.62799381921195,0.003446255643243616,290.17,0
01WeaklyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,57855,Incomplete_TabuSearch,31059,9174.840927124023,1000,True,-1,0.016095802214782386,False,0.016095802214782386,0.003446255643243616,290.17,1
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Complete_MIP_ORTools,27624,66.90835952758789,0,True,-1,0.0,False,0.0,0.003938403371273286,253.91,1
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Complete_MIP_PuLP,27624,141.0508155822754,-1,True,-1,0.0,False,0.0,0.003938403371273286,253.91,1
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_Greedy_Simple,27565,0.9922981262207032,0,True,-1,0.2135823921227918,False,0.2135823921227918,0.003938403371273286,253.91,1
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_Greedy_Random_k3,27552,12.972354888916016,0,True,-1,0.26064291920069504,False,0.26064291920069504,0.003938403371273286,253.91,1
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_Greedy_Probabilistic_alpha0.9,25427,16.378164291381836,0,False,-1,7.953229076165654,False,7.953229076165654,0.003938403371273286,253.91,0
01WeaklyCorrelated_n00100_R01000_s001,moyen,Unknown,100,25391,51291,50836,Incomplete_SimulatedAnnealing,27565,1362.0240688323977,11272,True,-1,0.2135823921227918,False,0.2135823921227918,0.003938403371273286,253.91,1
