Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_SimulatedAnnealing,13412,575.8793354034424,11760,false,-1,-1.0
07SpannerUncorrelated_n00050_R01000_s000,facile,Unknown,50,4569,9231,23148,Incomplete_TabuSearch,13472,1614.0873432159424,1000,false,-1,-1.0
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Complete_MIP_ORTools,10354,59.29064750671387,50,true,-1,-1.0
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Complete_MIP_PuLP,10354,157.5632095336914,-1,true,-1,-1.0
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_Greedy_Simple,10354,0.0,0,false,-1,-1.0
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_Greedy_Random_k3,10354,0.0,0,false,-1,-1.0
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_Greedy_Probabilistic_alpha0.9,8771,0.0,0,false,-1,-1.0
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_SimulatedAnnealing,10354,557.4948787689209,12191,false,-1,-1.0
08SpannerWeaklyCorrelated_n00050_R01000_s000,facile,Unknown,50,11459,23148,17922,Incomplete_TabuSearch,10354,1925.8809089660645,1000,false,-1,-1.0
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Complete_MIP_ORTools,46537,111.59181594848633,2,true,-1,-1.0
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Complete_MIP_PuLP,46537,151.26466751098633,-1,true,-1,-1.0
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_Greedy_Simple,46365,0.0,0,false,-1,-1.0
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_Greedy_Random_k3,46447,13.449430465698242,0,false,-1,-1.0
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_Greedy_Probabilistic_alpha0.9,40584,14.564037322998047,0,false,-1,-1.0
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_SimulatedAnnealing,46386,1294.0888404846191,10497,false,-1,-1.0
00Uncorrelated_n00100_R01000_s000,moyen,Unknown,100,22545,45542,58616,Incomplete_GeneticAlgorithm,43158,1237.3135089874268,5000,false,-1,-1.0
